ruc,official_name,department,province,district,ubigeo,verification,fiscal_ubigeo,exception_note
20175639391,MUNICIPALIDAD PROVINCIAL DE TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,CONFIRMED_EXACT,130101,
20147170565,MUNICIPALIDAD DISTRITAL DE EL PORVENIR,LA LIBERTAD,TRUJILLO,EL PORVENIR,130102,CONFIRMED_EXACT,130102,
20170044844,MUNICIPALIDAD DISTRITAL DE FLORENCIA DE MORA,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,130103,CONFIRMED_EXACT,130103,
20167736468,MUNICIPALIDAD DISTRITAL DE HUANCHACO,LA LIBERTAD,TRUJILLO,HUANCHACO,130104,CONFIRMED_EXACT,130104,
20164091547,MUNICIPALIDAD DISTRITAL DE LA ESPERANZA,LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105,CONFIRMED_EXACT,130105,
20178186869,MUNICIPALIDAD DISTRITAL DE LAREDO,LA LIBERTAD,TRUJILLO,LAREDO,130106,CONFIRMED_EXACT,130106,
20167741208,MUNICIPALIDAD DISTRITAL DE MOCHE,LA LIBERTAD,TRUJILLO,MOCHE,130107,CONFIRMED_EXACT,130107,
20197196000,MUNICIPALIDAD DISTRITAL DE POROTO,LA LIBERTAD,TRUJILLO,POROTO,130108,CONFIRMED_EXACT,130108,
20165281617,MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD,TRUJILLO,SALAVERRY,130109,CONFIRMED_EXACT,130109,
20195198994,MUNICIPALIDAD DISTRITAL DE SIMBAL,LA LIBERTAD,TRUJILLO,SIMBAL,130110,CONFIRMED_EXACT,130110,
20174738085,MUNICIPALIDAD DISTRITAL DE VICTOR LARCO HERRERA,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,130111,CONFIRMED_EXACT,130111,
20481036420,MUNICIPALIDAD DISTRITAL DE ALTO TRUJILLO,LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,130112,CONFIRMED_EXCEPTION,130102,El padrón devuelve el domicilio fiscal bajo 130102; la asignación territorial 130112 se conserva del catálogo MEF.
20187052221,MUNICIPALIDAD PROVINCIAL DE ASCOPE,LA LIBERTAD,ASCOPE,ASCOPE,130201,CONFIRMED_EXACT,130201,
20178833643,MUNICIPALIDAD DISTRITAL DE CHICAMA,LA LIBERTAD,ASCOPE,CHICAMA,130202,CONFIRMED_EXACT,130202,
20175640135,MUNICIPALIDAD DISTRITAL DE CHOCOPE,LA LIBERTAD,ASCOPE,CHOCOPE,130203,CONFIRMED_EXACT,130203,
20179753660,MUNICIPALIDAD DISTRITAL DE MAGDALENA DE CAO,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,130204,CONFIRMED_EXACT,130204,
20207890261,MUNICIPALIDAD DISTRITAL DE PAIJAN,LA LIBERTAD,ASCOPE,PAIJAN,130205,CONFIRMED_EXACT,130205,
20178843282,MUNICIPALIDAD DISTRITAL DE RAZURI,LA LIBERTAD,ASCOPE,RAZURI,130206,CONFIRMED_EXACT,130206,
20185157921,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE C,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,130207,CONFIRMED_EXCEPTION,130207,El padrón trunca la razón social como SANTIAGO DE C; el distrito territorial se conserva completo.
20438599194,MUNICIPALIDAD DISTRITAL DE CASA GRANDE,LA LIBERTAD,ASCOPE,CASA GRANDE,130208,CONFIRMED_EXACT,130208,
20202505695,MUNICIPALIDAD PROVINCIAL DE BOLIVAR,LA LIBERTAD,BOLIVAR,BOLIVAR,130301,CONFIRMED_EXACT,130301,
20275502589,MUNICIPALIDAD DISTRITAL DE BAMBAMARCA,LA LIBERTAD,BOLIVAR,BAMBAMARCA,130302,CONFIRMED_EXACT,130302,
20204719480,MUNICIPALIDAD DISTRITAL DE CONDORMARCA,LA LIBERTAD,BOLIVAR,CONDORMARCA,130303,CONFIRMED_EXACT,130303,
20216644990,MUNICIPALIDAD DISTRITAL DE LONGOTEA,LA LIBERTAD,BOLIVAR,LONGOTEA,130304,CONFIRMED_EXACT,130304,
20220981011,MUNICIPALIDAD DISTRITAL DE UCHUMARCA,LA LIBERTAD,BOLIVAR,UCHUMARCA,130305,CONFIRMED_EXACT,130305,
20215275133,MUNICIPALIDAD DISTRITAL DE UCUNCHA,LA LIBERTAD,BOLIVAR,UCUNCHA,130306,CONFIRMED_EXACT,130306,
20178862074,MUNICIPALIDAD PROVINCIAL DE CHEPEN,LA LIBERTAD,CHEPEN,CHEPEN,130401,CONFIRMED_EXACT,130401,
20182163962,MUNICIPALIDAD DISTRITAL DE PACANGA,LA LIBERTAD,CHEPEN,PACANGA,130402,CONFIRMED_EXACT,130402,
20192401004,MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO,LA LIBERTAD,CHEPEN,PUEBLO NUEVO,130403,CONFIRMED_EXACT,130403,
20202951393,MUNICIPALIDAD PROVINCIAL DE JULCAN,LA LIBERTAD,JULCAN,JULCAN,130501,CONFIRMED_EXACT,130501,
20210717731,MUNICIPALIDAD DISTRITAL DE CALAMARCA,LA LIBERTAD,JULCAN,CALAMARCA,130502,CONFIRMED_EXACT,130502,
20206513005,MUNICIPALIDAD DISTRITAL DE CARABAMBA,LA LIBERTAD,JULCAN,CARABAMBA,130503,CONFIRMED_EXACT,130503,
20211492687,MUNICIPALIDAD DISTRITAL DE HUASO,LA LIBERTAD,JULCAN,HUASO,130504,CONFIRMED_EXCEPTION,130501,El padrón devuelve el domicilio fiscal bajo 130501; la asignación territorial 130504 se conserva del catálogo MEF.
20165341377,MUNICIPALIDAD PROVINCIAL DE OTUZCO,LA LIBERTAD,OTUZCO,OTUZCO,130601,CONFIRMED_EXACT,130601,
20230013811,MUNICIPALIDAD DISTRITAL DE AGALLPAMPA,LA LIBERTAD,OTUZCO,AGALLPAMPA,130602,CONFIRMED_EXACT,130602,
20200320221,MUNICIPALIDAD DISTRITAL DE CHARAT,LA LIBERTAD,OTUZCO,CHARAT,130604,CONFIRMED_EXACT,130604,
20164108539,MUNICIPALIDAD DISTRITAL DE HUARANCHAL,LA LIBERTAD,OTUZCO,HUARANCHAL,130605,CONFIRMED_EXACT,130605,
20274327864,MUNICIPALIDAD DISTRITAL DE LA CUESTA,LA LIBERTAD,OTUZCO,LA CUESTA,130606,CONFIRMED_EXACT,130606,
20221375069,MUNICIPALIDAD DISTRITAL DE MACHE,LA LIBERTAD,OTUZCO,MACHE,130608,CONFIRMED_EXACT,130608,
20201254117,MUNICIPALIDAD DISTRITAL PARANDAY,LA LIBERTAD,OTUZCO,PARANDAY,130610,CONFIRMED_EXACT,130610,
20199828666,MUNICIPALIDAD DISTRITAL DE SALPO,LA LIBERTAD,OTUZCO,SALPO,130611,CONFIRMED_EXACT,130611,
20205876791,MUNICIPALIDAD DISTRITAL DE SINSICAP,LA LIBERTAD,OTUZCO,SINSICAP,130613,CONFIRMED_EXACT,130613,
20203917407,MUNICIPALIDAD DISTRITAL  USQUIL,LA LIBERTAD,OTUZCO,USQUIL,130614,CONFIRMED_EXACT,130614,
20164091466,MUNICIPALIDAD PROVINCIAL DE PACASMAYO,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,130701,CONFIRMED_EXACT,130701,
20182029999,MUNICIPALIDAD DISTRITAL DE GUADALUPE,LA LIBERTAD,PACASMAYO,GUADALUPE,130702,CONFIRMED_EXACT,130702,
20170040695,MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,130703,CONFIRMED_EXACT,130703,
20175113194,MUNICIPALIDAD DISTRITAL DE PACASMAYO,LA LIBERTAD,PACASMAYO,PACASMAYO,130704,CONFIRMED_EXACT,130704,
20184047889,MUNICIPALIDAD DISTRITAL DE SAN JOSE,LA LIBERTAD,PACASMAYO,SAN JOSE,130705,CONFIRMED_EXACT,130705,
20226962892,MUNICIPALIDAD PROVINCIAL DE PATAZ,LA LIBERTAD,PATAZ,TAYABAMBA,130801,CONFIRMED_EXACT,130801,
20231574116,MUNICIPALIDAD DISTRITAL DE BULDIBUYO,LA LIBERTAD,PATAZ,BULDIBUYO,130802,CONFIRMED_EXACT,130802,
20187651361,MUNICIPALIDAD DISTRITAL DE CHILLIA,LA LIBERTAD,PATAZ,CHILLIA,130803,CONFIRMED_EXACT,130803,
20212669734,MUNICIPALIDAD DISTRITAL DE HUANCASPATA,LA LIBERTAD,PATAZ,HUANCASPATA,130804,CONFIRMED_EXACT,130804,
20187651019,MUNICIPALIDAD DISTRITAL DE HUAYLILLAS,LA LIBERTAD,PATAZ,HUAYLILLAS,130805,CONFIRMED_EXACT,130805,
20314401221,MUNICIPALIDAD DISTRITAL DE HUAYO,LA LIBERTAD,PATAZ,HUAYO,130806,CONFIRMED_EXACT,130806,
20354264936,MUNICIPALIDAD DISTRITAL DE ONGON,LA LIBERTAD,PATAZ,ONGON,130807,CONFIRMED_EXACT,130807,
20200270968,MUNICIPALIDAD DISTRITAL DE PARCOY,LA LIBERTAD,PATAZ,PARCOY,130808,CONFIRMED_EXACT,130808,
20275817814,MUNICIPALIDAD DISTRITAL DE PATAZ,LA LIBERTAD,PATAZ,PATAZ,130809,CONFIRMED_EXACT,130809,
20201991057,MUNICIPALIDAD DISTRITAL DE PIÁS,LA LIBERTAD,PATAZ,PIAS,130810,CONFIRMED_EXACT,130810,
20354035589,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE CHALLAS,LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,130811,CONFIRMED_EXACT,130811,
20220331581,MUNICIPALIDAD DISTRITAL DE TAURIJA,LA LIBERTAD,PATAZ,TAURIJA,130812,CONFIRMED_EXACT,130812,
20231552490,MUNICIPALIDAD DISTRITAL DE URPAY,LA LIBERTAD,PATAZ,URPAY,130813,CONFIRMED_EXACT,130813,
