ruc,nombre,declarado_directorio_2025_usd,fob_aduanas_2025_usd,categoria,diferencia_pct
20542289024,CUENCAS DEL HUALLAGA ASOCIACION DE PRODUCTORES AGROPECUARIOS,80810222.02,22972812.62,AMBAS_FUENTES,-71.6
20486973219,COOPERATIVA AGRARIA SONOMORO DEL VRAEM LTDA,18961611.63,18675677.33,AMBAS_FUENTES,-1.5
20542209951,COOPERATIVA AGRARIA VALLE GRANDE,38924310.93,12852633.42,AMBAS_FUENTES,-67
20600390911,COOPERATIVA AGRARIA DE CACAO AROMATICO COLPA DE LOROS,1464838.82,12445020.82,AMBAS_FUENTES,749.6
20486255090,COOPERATIVA AGRARIA SANGARENI,9860568.49,7990596.31,AMBAS_FUENTES,-19
20611935243,COOPERATIVA AGRARIA ECOLÓGICA CANIARI AMAZÓNICA CAECAM,14483443.02,7723335.03,AMBAS_FUENTES,-46.7
20602650643,ASOCIACIÓN AGROEXPORTADORA DE LA REGIÓN SAN MARTÍN,25644583.32,6702452.96,AMBAS_FUENTES,-73.9
20568194951,ASOCIACION DE PRODUCTORES AGROSOSTENIBLES VILLA ECOLOGICA PERU,2206901.5,5121640.53,AMBAS_FUENTES,132.1
20600263286,ASOCIACIÓN DE PRODUCTORES SELVA NORORIENTAL,16241144.01,4154567.79,AMBAS_FUENTES,-74.4
20479595276,COOPERATIVA AGRARIA CAFETALERA CASIL LTD,2396608.56,3256065.76,AMBAS_FUENTES,35.9
20526179367,COOPERATIVA AGRARIA DE USUARIOS ASPRAOSRA LTDA,781855.2,2930274,AMBAS_FUENTES,274.8
20136201213,CENTRAL DE COOPERATIVAS AGRARIAS CAFETALERAS COCLA LTDA. NRO 281,8390056.49,2833351.37,AMBAS_FUENTES,-66.2
20542257416,EMPRESA INDUSTRIAL ORO VERDE SOCIEDAD ANONIMA CERRADA,9762818.5,2558050,AMBAS_FUENTES,-73.8
20143692010,COOPERATIVA AGRARIA CAFETALERA EL QUINACHO LTDA N° 78,3073770.66,2269169.85,AMBAS_FUENTES,-26.2
20525955843,COOPERATIVA AGRARIA ECOLOGICA Y SOLIDARIA PIURA,5507436.75,2262055.06,AMBAS_FUENTES,-58.9
20118578415,CENTRAL DE COOPERATIVAS AGRARIAS CAFETERAS DE VALLE DE SANDIA LTDA,7693699.16,2104743.62,AMBAS_FUENTES,-72.6
20487242994,COOPERATIVA AGRARIA ECOLÓGICA CACAOTERA VALLE RIO ENE - COOPAVRE,968974.04,1270981.12,AMBAS_FUENTES,31.2
20542264544,COOPERATIVA AGRARIA VALLE DEL BIAVO LTDA,3866609.34,1034237.6,AMBAS_FUENTES,-73.3
