ruc	razon_social	tipo_empresa	estado_sunat	condicion_sunat	departamento	provincia	distrito	telefono	email	codigo_registro	fecha_consulta
20118578415	CENT.DE COOP.AGR. CAF.VALLES SANDIA LTDA	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	PUNO	SANDIA	SAN JUAN DEL ORO	980727378	contabilidad@cecovasa.com	S0921917	2026-09-20T01:43:21.108Z
20118588135	CENTRAL DE COOPERATIVAS DE SERVICIOS ESPECIALES ALPAQUERAS DE PUNO LTDA. - CECOALP	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	PUNO	SAN ROMAN	JULIACA	051328851	nilvaflors@gmail.com	S0148048	2026-09-20T01:43:21.108Z
20119208026	FONGAL TACNA	ASOCIACION	ACTIVO	HABIDO	TACNA	TACNA	CRL. GREG. ALBARRACIN LANCHIP	052-401722	john_sarmiento_4321@hotmail.es	B0048031	2026-09-20T01:43:21.108Z
20129156083	COOP AGRARIA CAFET VALLE RIO APURIMAC	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	AYACUCHO	LA MAR	AYNA	066-325179	cacvra@yahoo.es	S0128686	2026-09-20T01:43:21.108Z
20129529530	COOP AGRARIA CAFETALERA SATIPO LTDA	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	JUNIN	SATIPO	SATIPO	545030	edisondario@hotmail.com	S0836027	2026-09-20T01:43:21.108Z
20129830426	COOPERATIVA COMUNAL HUAYLLAY LTDA 16	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	PASCO	PASCO	HUAYLLAY			S1069969	2026-09-20T01:43:21.108Z
20131453427	COOPERATIVA COMUNAL SAN PEDRO DE RACCO	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	PASCO	PASCO	SIMON BOLIVAR			S2342817	2026-09-20T01:43:21.108Z
20132489824	COOPERATIVA AGRARIA CAFETALERA CHANCAMAYO LTDA. N° 008-B-VII	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA			S0438053	2026-09-20T01:43:21.108Z
20132505455	COOPERATIVA AGRARIA CAFETALERA AGUILAYOC  LTDA. 084	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	084282566	cacaguilayoc@gmail.com	S1293176	2026-09-20T01:43:21.108Z
20132509795	COOPERATIVA AGRARIA CAFETALERA JOSE OLAYA LTDA  N° 252	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	282638	252cacjoseolaya@gmail.com	S0882298	2026-09-20T01:43:21.108Z
20132509876	COOPERATIVA AGRARIA CAFETALERA MARANURA LTDA. 129	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	MARANURA	984403611	CACMARANURA@HOTMAIL.COM	S1112758	2026-09-20T01:43:21.108Z
20132517119	COOPERATIVA AGRARIA CAFETALERA MATEO PUMACAHUA LTDA N° 185	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	084281110	CAMARALACONVENCION_@hotmail.com	S1142161	2026-09-20T01:43:21.108Z
20136201132	COOPERATIVA AGRARIA CAFETALERA ALTO URUBAMBA LTDA N° 239	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	944257022	c.a.c.altourubamba@gmail.com	S0143918	2026-09-20T01:43:21.108Z
20136201213	CENTRAL DE COOPERATIVAS AGRARIAS CAFETALERAS COCLA LTDA. N° 281	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	084-281377	gerencia@cocla.pe	S0552459	2026-09-20T01:43:21.108Z
20140181405	COOPERATIVA AGRARIA CAFETALERA LA FLORIDA	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	JUNIN	CHANCHAMAYO	PERENE	064-531190	admlaflorida@spide.com	S0599278	2026-09-20T01:43:21.108Z
20140292657	COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CUSCO	LA CONVENCION	SANTA ANA	958301167	CONTABILIDADAGREGADOSCUSCO@HOTMAIL.COM	S1370809	2026-09-20T01:43:21.108Z
20143692010	COOPERATIVA AGRARIA EL QUINACHO LTDA. N° 078	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	AYACUCHO	HUANTA	SIVIA	980444176	astogozmemarisol@gmail.com	S0758757	2026-09-20T01:43:21.108Z
20145484597	COOPERATIVA AGRARIA CAFETALERA SAN IGNACIO LTDA.	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	PUNO	SANDIA	SAN PEDRO DE PUTINA PUNCO	951401272		S0369016	2026-09-20T01:43:21.108Z
20170142773	COOPERATIVA AGRARIA CAFETALERA BAGUA GRANDE LIMITADA	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	AMAZONAS	UTCUBAMBA	BAGUA GRANDE			S1645249	2026-09-20T01:43:21.108Z
20175089111	COOP. AG. SOCIEDAD AGRICOLA DE INTERES SOCIAL JOSE CARLOS MARIATEGUI LTDA.N°16 SUNCHUBAMBA Y ANEXOS	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	CAJAMARCA	CAJAMARCA	COSPAN	076607101	JCMRODRIGUEZ@GMAIL.COM	S0170876	2026-09-20T01:43:21.108Z
20323699365	INVERSIONES PERUALP S.A.	SOCIEDAD ANONIMA	ACTIVO	HABIDO	PASCO	OXAPAMPA	CHONTABAMBA	063462465	jduarte@floralpperu.com	B0014648	2026-09-20T01:43:21.108Z
20326767400	ASOC.C.DE ACOPIO D.LECHE SR.D.L.MILAGROS	ASOCIACION	ACTIVO	HABIDO	AREQUIPA	CAYLLOMA	LLUTA	958996698	calmilagroscontabilidad@hotmail.com	S2943858	2026-09-20T01:43:21.108Z
20352417018	COOPERATIVA AGRARIA DE CACAOTEROS TECNIFICADOS DE PADRE ABAD	COOPERATIVAS, SAIS, CAPS	SUSPENSION TEMPORAL	HABIDO	UCAYALI	PADRE ABAD	IRAZOLA	576387		S0374689	2026-09-20T01:43:21.108Z
20352423921	COOPERATIVA AGRARIA CAFETALERA DIVISORIA LTDA	COOPERATIVAS, SAIS, CAPS	ACTIVO	HABIDO	HUANUCO	LEONCIO PRADO	LUYANDO	947595969	gerencia@cacdivisoria.com	S0596909	2026-09-20T01:43:21.108Z
