ruc	registrado	nombre_ppa	fecha_consulta
20118578415	true	CENT.DE COOP.AGR. CAF.VALLES SANDIA LTDA	2026-09-20T00:32:24.606Z
20118588135	true	CENTRAL DE COOPERATIVAS DE SERVICIOS ESPECIALES ALPAQUERAS DE PUNO LTDA. - CECOALP	2026-09-20T00:32:24.606Z
20119208026	true	FONGAL TACNA	2026-09-20T00:32:24.606Z
20129156083	true	COOP AGRARIA CAFET VALLE RIO APURIMAC	2026-09-20T00:32:24.606Z
20129529530	true	COOP AGRARIA CAFETALERA SATIPO LTDA	2026-09-20T00:32:24.606Z
20129772043	true	COOPERATIVA COMUNAL VICCO LTDA	2026-09-20T00:32:24.606Z
20129830426	true	COOPERATIVA COMUNAL HUAYLLAY LTDA 16	2026-09-20T00:32:24.606Z
20129842351	true	COOPERATIVA COMUNAL SAN ANTONIO DE RANCAS LTDA. 289	2026-09-20T00:32:24.606Z
20131453427	true	COOPERATIVA COMUNAL SAN PEDRO DE RACCO	2026-09-20T00:32:24.606Z
20132489824	true	COOPERATIVA AGRARIA CAFETALERA CHANCAMAYO LTDA. N° 008-B-VII	2026-09-20T00:32:24.606Z
20132505455	true	COOPERATIVA AGRARIA CAFETALERA AGUILAYOC  LTDA. 084	2026-09-20T00:32:24.606Z
20132509795	true	COOPERATIVA AGRARIA CAFETALERA JOSE OLAYA LTDA  N° 252	2026-09-20T00:32:24.606Z
20132509876	true	COOPERATIVA AGRARIA CAFETALERA MARANURA LTDA. 129	2026-09-20T00:32:24.606Z
20132517119	true	COOPERATIVA AGRARIA CAFETALERA MATEO PUMACAHUA LTDA N° 185	2026-09-20T00:32:24.606Z
20136201132	true	COOPERATIVA AGRARIA CAFETALERA ALTO URUBAMBA LTDA N° 239	2026-09-20T00:32:24.606Z
20136201213	true	CENTRAL DE COOPERATIVAS AGRARIAS CAFETALERAS COCLA LTDA. N° 281	2026-09-20T00:32:24.606Z
20140181405	true	COOPERATIVA AGRARIA CAFETALERA LA FLORIDA	2026-09-20T00:32:24.606Z
20140292657	true	COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.	2026-09-20T00:32:24.606Z
20143224857	true	COOPERATIVA AGRARIA DE USUARIOS AMAYBAMBA PISTIPATA LTDA. N°34	2026-09-20T00:32:24.606Z
20143692010	true	COOPERATIVA AGRARIA EL QUINACHO LTDA. N° 078	2026-09-20T00:32:24.606Z
20145484597	true	COOPERATIVA AGRARIA CAFETALERA SAN IGNACIO LTDA.	2026-09-20T00:32:24.606Z
20146696041	true	COOP AGRARIA CAFET JOSE GABRIEL CONDORCA	2026-09-20T00:32:24.606Z
20147443120	true	COOPERATIVA AGRARIA CAFETALERA TIRIJUAY PAVAYOC LTDA 013-B-VII	2026-09-20T00:32:24.606Z
20166786861	true	COMITE CENTRAL DE PRODUCTORES AGROPECUARIOS DE SAN ALEJANDRO	2026-09-20T00:32:24.606Z
20170142773	true	COOPERATIVA AGRARIA CAFETALERA BAGUA GRANDE LIMITADA	2026-09-20T00:32:24.606Z
20175089111	true	COOP. AG. SOCIEDAD AGRICOLA DE INTERES SOCIAL JOSE CARLOS MARIATEGUI LTDA.N°16 SUNCHUBAMBA Y ANEXOS	2026-09-20T00:32:24.606Z
20183732031	true	ASOCIACION DE PRODUCTORES DE ROCOTO Y PRODUCTOS AGRICOLAS DE OXAPAMPA	2026-09-20T00:32:24.606Z
20200880448	true	COOPERATIVA AGRARIA CAFETALERA JORGE CHAVEZ LTDA	2026-09-20T00:32:24.606Z
20204028061	true	COOPERATIVA COMUNAL SAN PEDRO DE CAJAS	2026-09-20T00:32:24.606Z
20287980672	true	COMUNIDAD NATIVA TRES ISLAS	2026-09-20T00:32:24.606Z
20323699365	true	INVERSIONES PERUALP S.A.	2026-09-20T00:32:24.606Z
20326767400	true	ASOC.C.DE ACOPIO D.LECHE SR.D.L.MILAGROS	2026-09-20T00:32:24.606Z
20327993705	true	CENTRO DE ACOPIO DE LECHE LUIS PASTEUR	2026-09-20T00:32:24.606Z
20352266052	true	ASOCIACION DE PRODUCTORES DE PALMITO DE AGUAYTIA	2026-09-20T00:32:24.606Z
