name,title,organization,num_resources,num_tags,license_id,isopen,state,first_resource_url,first_resource_format,first_resource_status,created,modified
cantidad-de-investigadores-que-estudiaron-en-universidades-publicas-por-grados-academicos,Cantidad de investigadores que estudiaron en universidades publicas por grados academicos,Plataforma Nacional de Datos Abiertos,1,6,,,Active,http://datos.concytec.gob.pe/sites/default/files/DAT_INV_GRA_ACA_2.xlsx,XLSX,0,"Vie, 10/21/2016 - 15:30","Vie, 06/12/2026 - 10:22"
viáticos-de-entidades,Viáticos de entidades,Plataforma Nacional de Datos Abiertos,1,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_viatico_entidades_2016.csv,CSV,404,"Mié, 10/26/2016 - 13:02","Mié, 03/15/2017 - 13:58"
vehículos-de-entidades,Vehículos de entidades,Plataforma Nacional de Datos Abiertos,2,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_vehiculo_entidades_2015.csv,CSV,200,"Mié, 10/26/2016 - 16:36","Mié, 03/15/2017 - 13:58"
publicidad-de-entidades,Publicidad de entidades,Plataforma Nacional de Datos Abiertos,2,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_publicidad_entidades_2015.csv,CSV,200,"Mié, 10/26/2016 - 16:42","Mié, 03/15/2017 - 13:58"
teléfonos-de-entidades,Teléfonos de entidades,Plataforma Nacional de Datos Abiertos,2,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_telefono_entidades_2015.csv,CSV,200,"Mié, 10/26/2016 - 16:49","Mié, 03/15/2017 - 13:58"
tramite-de-entidades,Tramite de entidades,Plataforma Nacional de Datos Abiertos,1,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_tramite_entidades_2015.csv,CSV,200,"Mié, 11/02/2016 - 16:58","Mié, 03/15/2017 - 13:58"
ordenes-de-entidades,Ordenes de entidades,Plataforma Nacional de Datos Abiertos,2,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_orden_entidades_2015.csv,CSV,200,"Vie, 10/28/2016 - 10:40","Mié, 03/15/2017 - 13:58"
valorización-de-pérdidas-por-presencia-de-enfermedades-nivel-de-región-política-años-2012,Valorización de pérdidas por presencia de enfermedades a nivel de región política: años 2012-2013-2014-2015. ,Plataforma Nacional de Datos Abiertos,1,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/Perdidas%20al%20VBP%20x%20efecto%20de%20plagas%202012_2014.xlsx,EXCEL,200,"Vie, 12/30/2016 - 17:12","Mié, 03/15/2017 - 17:02"
personal-de-entidades,Personal de entidades,Plataforma Nacional de Datos Abiertos,2,5,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/ds_personal_entidades_2015.csv,CSV,200,"Mié, 10/26/2016 - 17:07","Mié, 03/15/2017 - 13:58"
inscripción-de-empresas-cubicadoras-osinergmin,Inscripción de Empresas Cubicadoras - OSINERGMIN,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/STE-Registro-Empresas-Cubicadoras.xls,XLB,200,"Mar, 01/03/2017 - 08:53","Mié, 12/17/2025 - 11:57"
registro-de-hidrocarburos-líquidos-osinergmin,Registro de Hidrocarburos Líquidos - Osinergmin,Plataforma Nacional de Datos Abiertos,11,2,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/CDCLyOPDHconInstalacionesFijas.xls,XLB,200,"Mar, 01/03/2017 - 12:04","Mar, 04/07/2026 - 10:31"
registro-de-instaladores-habilitados-de-gas-natural-organismo-supervisor-de-la-inversión-en,Registro de instaladores habilitados de gas natural - [Organismo Supervisor de la Inversión en Energía y Minería - OSINERGMIN],Plataforma Nacional de Datos Abiertos,4,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/PersonaJuridica.pdf,PDF,200,"Mar, 01/03/2017 - 10:16","Vie, 07/24/2026 - 10:37"
boletin,Boletin,Plataforma Nacional de Datos Abiertos,1,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/BOLETIN%20INSTITUCIONAL%20N%C2%B001.pdf,PDF,200,"Mar, 01/03/2017 - 12:24","Jue, 07/06/2017 - 19:55"
instituciones-científicas-depositarias-de-material-biológico-serfor,Instituciones Científicas Depositarias de Material Biológico - SERFOR,Plataforma Nacional de Datos Abiertos,1,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/Instituciones%20Cientificas%20Depositarias%20de%20Material%20Biologico.xlsx,XLSX,200,"Mar, 01/03/2017 - 16:22","Mié, 03/08/2017 - 14:09"
registro-nacional-de-infractores-serfor,Registro Nacional de Infractores - SERFOR,Plataforma Nacional de Datos Abiertos,1,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/Registro%20Nacional%20de%20Infractores.xlsx,XLSX,200,"Mar, 01/03/2017 - 16:25","Vie, 06/17/2022 - 17:09"
boletín-estadístico-mensual-de-la-producción-y-comercialización-avícola,BOLETÍN ESTADÍSTICO MENSUAL DE LA PRODUCCIÓN Y COMERCIALIZACIÓN AVÍCOLA ,Plataforma Nacional de Datos Abiertos,44,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/cuadros-produccion-comercializacion-avicola-set16.xls,XLB,200,"Mié, 01/04/2017 - 10:00","Mié, 11/08/2017 - 17:49"
boletín-estadístico-mensual-de-la-producción-y-comercialización-avícola-–-octubre-2016,Boletín Estadístico Mensual de la Producción y Comercialización Avícola – Octubre 2016-DGESEP-DEA,Plataforma Nacional de Datos Abiertos,0,0,,,Active,,,,"Mié, 01/04/2017 - 16:12","Mié, 03/08/2017 - 12:21"
registro-de-cultivares-comerciales-nivel-nacional,Registro de Cultivares Comerciales a Nivel Nacional,Plataforma Nacional de Datos Abiertos,9,3,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/Registro%20Cultivar%20Comercial%20%282016-12%29.xls,EXCEL,200,"Mié, 01/04/2017 - 10:36","Mié, 07/12/2017 - 14:41"
boletin-hidrometeorológico,BOLETIN hidrometeorológico,Plataforma Nacional de Datos Abiertos,1,1,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/bolitin%202016%20.ZIP,ZIP,200,"Mar, 01/10/2017 - 15:51","Jue, 07/06/2017 - 19:55"
